pathway	pval	padj	ES	NES	nMoreExtreme	size	celltype
photosynthesis	9.999000099990002e-5	0.004638826735813415	0.4911888409964056	1.9821656688314526	0	146	bundle_sheath_ncell_2870
ion_transmembrane_transport	9.999000099990002e-5	0.004638826735813415	0.4423916335025282	1.7982017557653511	0	164	bundle_sheath_ncell_2870
generation_of_precursor_metabolites_and_energy	9.999000099990002e-5	0.004638826735813415	0.4256397210446642	1.7546724183795144	0	213	bundle_sheath_ncell_2870
anion_transport	9.999000099990002e-5	0.004638826735813415	0.42084700553193277	1.7106179332237579	0	165	bundle_sheath_ncell_2870
transmembrane_transport	9.999000099990002e-5	0.004638826735813415	0.38510611338295336	1.6087058001938228	0	283	bundle_sheath_ncell_2870
ion_transport	9.999000099990002e-5	0.004638826735813415	0.37760275858917014	1.5901610677299574	0	348	bundle_sheath_ncell_2870
cation_transport	9.999000099990002e-5	0.004638826735813415	0.3764053383008763	1.5662558614897508	0	255	bundle_sheath_ncell_2870
oxidation_reduction_process	9.999000099990002e-5	0.004638826735813415	0.340668754886959	1.450181174017532	0	475	bundle_sheath_ncell_2870
photosynthesis_light_reaction	1e-4	0.004638826735813415	0.5036317081452608	1.9948756320229974	0	112	bundle_sheath_ncell_2870
cation_homeostasis	1e-4	0.004638826735813415	0.5094258605763261	1.9913134161959434	0	92	bundle_sheath_ncell_2870
chemical_homeostasis	1e-4	0.004638826735813415	0.4527036757722179	1.804343912829817	0	121	bundle_sheath_ncell_2870
serine_family_amino_acid_metabolic_process	1e-4	0.004638826735813415	0.44345804489085616	1.7334494038291512	0	92	bundle_sheath_ncell_2870
obsolete_oxidoreduction_coenzyme_metabolic_process	1e-4	0.004638826735813415	0.4288609759905273	1.6830162147998162	0	97	bundle_sheath_ncell_2870
organic_acid_transport	1e-4	0.004638826735813415	0.4243441271203357	1.667535834640825	0	99	bundle_sheath_ncell_2870
carboxylic_acid_transport	1e-4	0.004638826735813415	0.4243441271203357	1.667535834640825	0	99	bundle_sheath_ncell_2870
ion_homeostasis	1.0001000100010001e-4	0.004638826735813415	0.46508893558511183	1.8343480165160648	0	105	bundle_sheath_ncell_2870
electron_transport_chain	1.0001000100010001e-4	0.004638826735813415	0.4511927845760718	1.7499718365292949	0	84	bundle_sheath_ncell_2870
divalent_inorganic_cation_transport	1.0001000100010001e-4	0.004638826735813415	0.4411834500890047	1.7174006957201904	0	88	bundle_sheath_ncell_2870
pyridine_containing_compound_metabolic_process	1.0001000100010001e-4	0.004638826735813415	0.44083650999392643	1.709804552233854	0	84	bundle_sheath_ncell_2870
cellular_chemical_homeostasis	1.0002000400080016e-4	0.004638826735813415	0.4849380333103281	1.8763420877261063	0	82	bundle_sheath_ncell_2870
serine_family_amino_acid_biosynthetic_process	1.0002000400080016e-4	0.004638826735813415	0.4541212575223795	1.7571045574704747	0	82	bundle_sheath_ncell_2870
divalent_metal_ion_transport	1.0002000400080016e-4	0.004638826735813415	0.4468125252414663	1.737662983338884	0	87	bundle_sheath_ncell_2870
pyridine_nucleotide_metabolic_process	1.0002000400080016e-4	0.004638826735813415	0.43796362706949976	1.6968303218935983	0	83	bundle_sheath_ncell_2870
nicotinamide_nucleotide_metabolic_process	1.0002000400080016e-4	0.004638826735813415	0.43796362706949976	1.6968303218935983	0	83	bundle_sheath_ncell_2870
cellular_ion_homeostasis	1.0003000900270081e-4	0.004638826735813415	0.4773972882320761	1.8425974259543267	0	80	bundle_sheath_ncell_2870
"NADP_metabolic_process"	1.0003000900270081e-4	0.004638826735813415	0.4496268536294016	1.7378325472639629	0	81	bundle_sheath_ncell_2870
"NADPH_regeneration"	1.0006003602161297e-4	0.004638826735813415	0.44779977252694403	1.7250007258659283	0	78	bundle_sheath_ncell_2870
cellular_cation_homeostasis	1.0007004903432403e-4	0.004638826735813415	0.5057180890248918	1.939741443503492	0	74	bundle_sheath_ncell_2870
animal_organ_senescence	1.0107135637760258e-4	0.004638826735813415	0.561786985106732	1.9966550305477246	0	38	bundle_sheath_ncell_2870
homeostatic_process	1.9998000199980003e-4	0.007824003997237204	0.4005456040737693	1.6268743965024701	1	162	bundle_sheath_ncell_2870
obsolete_cofactor_metabolic_process	1.9998000199980003e-4	0.007824003997237204	0.3732784720750108	1.5272914495810743	1	187	bundle_sheath_ncell_2870
cellular_homeostasis	2e-4	0.007824003997237204	0.4310802941671408	1.7104192080334009	1	115	bundle_sheath_ncell_2870
photosystem_II_assembly	2.0048115477145148e-4	0.007824003997237204	0.48723981504872566	1.8215703741133038	1	57	bundle_sheath_ncell_2870
neutral_amino_acid_transport	2.0387359836901122e-4	0.007824003997237204	0.5573246838690196	1.9238768547523781	1	31	bundle_sheath_ncell_2870
leaf_senescence	2.0574015019030964e-4	0.007824003997237204	0.6030564648422263	2.0312225015149976	1	27	bundle_sheath_ncell_2870
