species rep pool R1 R2
zea_mays 1 P2_G031_10x 00.data/zea_mays/rep1/Mo17B73_P2_G031_10x_R1.fastq.gz 00.data/zea_mays/rep1/Mo17B73_P2_G031_10x_R2.fastq.gz
zea_mays 1 P10_10x 00.data/zea_mays/rep1/Zm_rep1_P10_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P10_10x_R2.fastq.gz
zea_mays 1 P1_10x 00.data/zea_mays/rep1/Zm_rep1_P1_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P1_10x_R2.fastq.gz
zea_mays 1 P2_10x 00.data/zea_mays/rep1/Zm_rep1_P2_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P2_10x_R2.fastq.gz
zea_mays 1 P3_10x 00.data/zea_mays/rep1/Zm_rep1_P3_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P3_10x_R2.fastq.gz
zea_mays 1 P4_10x 00.data/zea_mays/rep1/Zm_rep1_P4_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P4_10x_R2.fastq.gz
zea_mays 1 P5_10x 00.data/zea_mays/rep1/Zm_rep1_P5_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P5_10x_R2.fastq.gz
zea_mays 1 P6_10x 00.data/zea_mays/rep1/Zm_rep1_P6_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P6_10x_R2.fastq.gz
zea_mays 1 P7_10x 00.data/zea_mays/rep1/Zm_rep1_P7_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P7_10x_R2.fastq.gz
zea_mays 1 P8_10x 00.data/zea_mays/rep1/Zm_rep1_P8_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P8_10x_R2.fastq.gz
zea_mays 1 P9_10x 00.data/zea_mays/rep1/Zm_rep1_P9_10x_R1.fastq.gz 00.data/zea_mays/rep1/Zm_rep1_P9_10x_R2.fastq.gz
zea_mays 2 P1_10x 00.data/zea_mays/rep2/Zm_rep2_P1_10x_R1.fastq.gz 00.data/zea_mays/rep2/Zm_rep2_P1_10x_R2.fastq.gz
zea_mays 2 P2_10x 00.data/zea_mays/rep2/Zm_rep2_P2_10x_R1.fastq.gz 00.data/zea_mays/rep2/Zm_rep2_P2_10x_R2.fastq.gz
zea_mays 2 P3_10x 00.data/zea_mays/rep2/Zm_rep2_P3_10x_R1.fastq.gz 00.data/zea_mays/rep2/Zm_rep2_P3_10x_R2.fastq.gz
zea_mays 2 P4_10x 00.data/zea_mays/rep2/Zm_rep2_P4_10x_R1.fastq.gz 00.data/zea_mays/rep2/Zm_rep2_P4_10x_R2.fastq.gz
zea_mays 2 P5_10x 00.data/zea_mays/rep2/Zm_rep2_P5_10x_R1.fastq.gz 00.data/zea_mays/rep2/Zm_rep2_P5_10x_R2.fastq.gz
zea_mays 2 P6_10x 00.data/zea_mays/rep2/Zm_rep2_P6_10x_R1.fastq.gz 00.data/zea_mays/rep2/Zm_rep2_P6_10x_R2.fastq.gz
sorghum_bicolor 1 None 00.data/sorghum_bicolor/rep1/Sorghum_rep1_R1.fastq 00.data/sorghum_bicolor/rep1/Sorghum_rep1_R2.fastq
sorghum_bicolor 2 None 00.data/sorghum_bicolor/rep2/Sorghum_rep2_R1.fastq 00.data/sorghum_bicolor/rep2/Sorghum_rep2_R2.fastq
urochlea_fusca 1 P1_10x 00.data/urochlea_fusca/rep1/Uro_P1_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_P1_10x_R2.fastq.gz
urochlea_fusca 1 P2_10x 00.data/urochlea_fusca/rep1/Uro_P2_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_P2_10x_R2.fastq.gz
urochlea_fusca 1 P3_10x 00.data/urochlea_fusca/rep1/Uro_P3_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_P3_10x_R2.fastq.gz
urochlea_fusca 1 P4_10x 00.data/urochlea_fusca/rep1/Uro_P4_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_P4_10x_R2.fastq.gz
urochlea_fusca 1 P5_10x 00.data/urochlea_fusca/rep1/Uro_P5_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_P5_10x_R2.fastq.gz
urochlea_fusca 1 P6_10x 00.data/urochlea_fusca/rep1/Uro_P6_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_P6_10x_R2.fastq.gz
urochlea_fusca 1 P7_10x 00.data/urochlea_fusca/rep1/Uro_P7_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_P7_10x_R2.fastq.gz
urochlea_fusca 1 P8_10x 00.data/urochlea_fusca/rep1/Uro_P8_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_P8_10x_R2.fastq.gz
urochlea_fusca 1 T1_10x 00.data/urochlea_fusca/rep1/Uro_T1_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_T1_10x_R2.fastq.gz
urochlea_fusca 1 T2_10x 00.data/urochlea_fusca/rep1/Uro_T2_10x_R1.fastq.gz 00.data/urochlea_fusca/rep1/Uro_T2_10x_R2.fastq.gz
urochlea_fusca 2 P1_10x 00.data/urochlea_fusca/rep2/Uro_P1_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_P1_10x_R2.fastq.gz
urochlea_fusca 2 P2_10x 00.data/urochlea_fusca/rep2/Uro_P2_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_P2_10x_R2.fastq.gz
urochlea_fusca 2 P3_10x 00.data/urochlea_fusca/rep2/Uro_P3_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_P3_10x_R2.fastq.gz
urochlea_fusca 2 P4_10x 00.data/urochlea_fusca/rep2/Uro_P4_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_P4_10x_R2.fastq.gz
urochlea_fusca 2 P5_10x 00.data/urochlea_fusca/rep2/Uro_P5_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_P5_10x_R2.fastq.gz
urochlea_fusca 2 P6_10x 00.data/urochlea_fusca/rep2/Uro_P6_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_P6_10x_R2.fastq.gz
urochlea_fusca 2 P7_10x 00.data/urochlea_fusca/rep2/Uro_P7_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_P7_10x_R2.fastq.gz
urochlea_fusca 2 P8_10x 00.data/urochlea_fusca/rep2/Uro_P8_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_P8_10x_R2.fastq.gz
urochlea_fusca 2 T1_10x 00.data/urochlea_fusca/rep2/Uro_T1_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_T1_10x_R2.fastq.gz
urochlea_fusca 2 T2_10x 00.data/urochlea_fusca/rep2/Uro_T2_10x_R1.fastq.gz 00.data/urochlea_fusca/rep2/Uro_T2_10x_R2.fastq.gz
panicum_millet 1 B1_G017_10x 00.data/proso_millet/rep1/Proso_B1_G017_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_B1_G017_10x_R2.fastq.gz
panicum_millet 1 B1_G021_10x 00.data/proso_millet/rep1/Proso_B1_G021_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_B1_G021_10x_R2.fastq.gz
panicum_millet 1 B9_G021_10x 00.data/proso_millet/rep1/Proso_B9_G021_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_B9_G021_10x_R2.fastq.gz
panicum_millet 1 C1_G017_10x 00.data/proso_millet/rep1/Proso_C1_G017_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_C1_G017_10x_R2.fastq.gz
panicum_millet 1 C9_G017_10x 00.data/proso_millet/rep1/Proso_C9_G017_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_C9_G017_10x_R2.fastq.gz
panicum_millet 1 C9_G021_10x 00.data/proso_millet/rep1/Proso_C9_G021_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_C9_G021_10x_R2.fastq.gz
panicum_millet 1 P1_G017_10x 00.data/proso_millet/rep1/Proso_P1_G017_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_P1_G017_10x_R2.fastq.gz
panicum_millet 1 P2_G021_10x 00.data/proso_millet/rep1/Proso_P2_G021_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_P2_G021_10x_R2.fastq.gz
